PaymentMethod,n_customers,churn_rate,churn_rate_percent
Electronic check,2365,0.4528541226215645,45.29
Mailed check,1612,0.19106699751861042,19.11
Bank transfer (automatic),1544,0.16709844559585493,16.71
Credit card (automatic),1522,0.15243101182654403,15.24
